symbol,date,quarter,positive_score,negative_score,neutral_score,polarity,sentiment_confidence,optimism_ratio,caution_ratio,transcript_length,word_complexity,price_volatility,prev_quarter_movement,label
SYF,2021-10-19,2021-Q3,0.2037,0.0255,0.7708,0.1782,0.7453,0.8143,0.1857,4495,6.188,0.2832,3.82,0
VICI,2021-04-30,2021-Q1,0.0585,0.0278,0.9136,0.0307,0.8858,0.7647,0.2353,4413,5.8781,0.1756,4.7829,1
DXCM,2022-10-27,2022-Q3,0.079,0.0215,0.8995,0.0575,0.878,0.875,0.125,3621,5.9473,0.5153,6.9007,1
BR,2021-05-04,2021-Q3,0.168,0.017,0.815,0.1511,0.798,0.9383,0.0617,4171,6.1597,0.1629,-1.3281,1
MCHP,2019-11-05,2020-Q2,0.0502,0.1503,0.7995,-0.1002,0.7493,0.3333,0.6667,4285,6.0161,0.3103,5.0586,0
ACN,2019-09-26,2019-Q4,0.1005,0.0221,0.8774,0.0785,0.8553,0.9268,0.0732,3930,6.1293,0.2083,1.3379,0
EMR,2021-05-05,2021-Q2,0.0888,0.0257,0.8855,0.063,0.8598,0.8929,0.1071,4448,5.9782,0.1485,6.5454,1
BBY,2022-05-24,2022-Q1,0.0897,0.0275,0.8828,0.0622,0.8553,0.6515,0.3485,4423,6.243,0.5283,4.65,1
BG,2021-10-27,2021-Q3,0.1236,0.0232,0.8532,0.1004,0.83,0.85,0.15,3897,5.8817,0.1304,2.6365,1
AVY,2021-10-27,2021-Q3,0.0856,0.0276,0.8868,0.058,0.8592,0.7368,0.2632,3431,5.9988,0.2137,2.416,0
HAL,2022-10-25,2022-Q3,0.1296,0.0387,0.8317,0.0909,0.793,0.8462,0.1538,3195,6.149,0.6443,-4.818,1
NKE,2021-03-18,2021-Q3,0.0777,0.0304,0.8919,0.0473,0.8615,0.8169,0.1831,4738,6.1669,0.2604,1.35,0
EW,2021-01-27,2020-Q4,0.0803,0.0355,0.8842,0.0448,0.8487,0.7742,0.2258,4559,6.0673,0.2367,,0
PRU,2022-11-02,2022-Q3,0.0733,0.0235,0.9032,0.0499,0.8797,0.7255,0.2745,4386,6.1984,0.3531,-2.3582,0
